"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","9.15377357747643","16.9151386464691","19.5903450034248","31.5170689768537","35.4539564809114","40.3811397910444","45.2520828879089","49.1886984122516","52.6527270879827","57.2662246940505","59.2338617257653","53.8527137352779","53.9016104843865","56.3126378760246","61.136734003564","58.0846667295599","59.7651787699777","59.0468377209249","56.9922980798515","53.5881653707096","57.687494972282","58.0629548985439","59.9988699615546","61.638240970224","63.4240099426451","63.5606676917447","66.5685078424748","70.2068405817474","70.6956186323249","73.3848091470353","75.9322373161874","76.1763958281607","77.1631511779769","75.8341394865054","76.1378967470646","74.9856658418431","73.3242589142981","73.9083850918377","73.2597046356665","74.4379697711152","72.7875296287956","68.755015069063",
"Afghanistan","AFG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","11","","8","9","14","14","14","31","34","22","20","19","22","25","40","41","42","38","31","31","27","37","35","39","48","50","53","55","59","60","62","64","59","57","60","62","64","67","71","64","66","63",
"Africa Western and Central","AFW","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","2.21335831118018","5.30788328888885","6.00982692926607","5.84499483750613","12.4051673382221","21.4825439020083","31.0669292411383","35.9087625527703","42.5006478474464","51.9533646790516","52.89060865637","52.7449036796801","44.8695962908688","43.3466425894548","44.5870697717881","48.1424550362383","44.8756808524549","44.8900026337499","43.7381792712035","44.4077346124978","44.6079858241981","44.6007127306269","44.8346934818585","48.642423742525","51.1360979497902","55.3260893160372","57.4944916868046","56.983678657327","62.2477854202644","68.410932658806","65.4287819112844","61.6417083621304","60.4767704075359","59.7986545424888","59.1393375017175","58.7973703116846","61.0083020816004","64.2239641339207","64.7145940946056","65.3001942259107","64.9888882816197","66.1954152960071",
"Angola","AGO","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","26","35","44","44","55","56","48","38","39","39","47","44","46","62","78","59","40","32","60","59","44","43","21","21","58","48","46","62","57","65","59","56","51","45","42","50","51","44","36",
"Albania","ALB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","90","90","93","96","96","96","96","96","96","96","88","80","87","76","90","91","92","95","89","85","95","95","96","93","96","97","95","97","98","97","99","99","98","99","98","97","96","96","94","95","91","87",
"Andorra","AND","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","97","97","97","98","96","98","94","91","94","98","98","99","99","98","95","96","96","97","99","99","99","98","99",
"Arab World","ARB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","14.7442495111643","15.923093730528","22.6468523490334","26.0757317736354","31.649972039441","52.7349145496719","58.1884926447634","61.9559501205263","70.536164317331","76.3882808471073","76.998829985658","76.555569192237","75.3102036290325","75.9605186496799","75.5018374302458","77.1372226008895","79.6522775390758","79.2729064211167","81.7511484315027","81.9407836281239","81.8844751347253","81.4291281913537","81.488982160675","81.7031111802383","82.3213864539984","82.4918052744839","81.9844737496596","83.4440268922953","83.0656423014313","85.471680418996","86.8844270152542","86.9119681998321","84.048716397874","85.1679631348875","83.9129649766714","84.0038315814164","86.2465446225353","85.6861084586542","84.6070544552689","84.7317887611367","82.6435737902075","82.2851054875242",
"United Arab Emirates","ARE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","34","42","41","51","53","60","67","71","74","78","80","82","85","90","90","90","90","95","95","96","94","94","94","94","94","92","92","92","92","93","94","95","96","98","99","99","99","99","99","99","99","99",
"Argentina","ARG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","61","77","67","67","79","54","87","80","87","89","93","99","92","95","96","99","99","93","95","97","91","89","95","97","99","98","97","94","96","96","95","95","94","94","95","89","90","89","94","86","77","81",
"Armenia","ARM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","95","95","96","89","92","94","92","92","93","91","94","92","94","92","92","94","96","97","97","97","97","97","97","97","96","95","95","94","94",
"American Samoa","ASM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","48","73","69","80","89","95","95","89","87","99","99","91","93","99","93","99","99","95","97","99","99","97","99","99","99","99","99","98","99","98","96","93","91","88","99","96","93","89","85",
"Australia","AUS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","68","68","68","68","68","77","85","86","86","86","86","86","87","87","85","82","88","91","92","94","94","94","94","94","94","94","94","94","94","94","94","94","95","95","94","94","94","93","93",
"Austria","AUT","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","25","25","25","30","40","60","60","60","60","60","60","60","60","60","60","87","90","78","65","75","79","78","79","74","75","80","79","83","76","80","84","88","92","96","96","95","96","94","95","95","95",
"Azerbaijan","AZE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","49","60","64","65","66","67","68","67","68","66","67","67","67","69","75","79","85","89","92","94","98","98","98","98","98","96","98","82","93",
"Burundi","BDI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","28","40","54","27","32","59","54","46","73","74","74","69","69","42","80","79","77","68","70","72","73","75","76","78","87","92","88","84","91","92","93","93","98","94","93","93","90","88","92","90","90",
"Belgium","BEL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","50","58","66","74","82","90","50","75","75","85","67","87","70","78","85","73","76","80","82","82","82","82","82","82","88","92","92","93","95","95","95","96","96","96","96","96","96","96","96","96","96",
"Benin","BEN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","23","20","26","30","48","79","60","70","67","78","65","60","66","67","69","70","68","66","65","63","61","66","70","66","71","68","70","74","68","65","67","68","68","68","68","65","68",
"Burkina Faso","BFA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","38","40","37","52","66","79","69","60","50","45","43","40","41","24","36","48","63","64","76","78","84","88","94","94","94","92","89","87","82","88","88","88","88","88","88","88","88",
"Bangladesh","BGD","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","3","6","13","53","65","68","69","74","78","79","69","72","71","71","74","77","75","76","81","88","83","89","92","93","88","93","88","91","94","97","97","97","97","97","97","97",
"Bulgaria","BGR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","98","98","90","98","98","99","99","99","99","99","99","98","92","88","93","94","95","93","95","96","89","90","92","96","95","96","96","96","96","96","97","95","94","95","93","92","92","94","93","95","88","89",
"Bahrain","BHR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","45","50","54","59","65","78","78","78","78","85","87","88","87","90","93","95","95","94","99","94","98","98","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99",
"Bahamas, The","BHS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","65","66","63","79","85","87","78","87","86","93","94","88","88","90","92","93","92","86","93","94","94","90","89","85","88","96","90","98","94","90","91","92","92","94","89","90","89","83","87","82",
"Bosnia and Herzegovina","BIH","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","48","57","53","70","86","84","83","80","92","89","84","88","90","85","96","84","93","91","89","94","92","89","83","68","69","68","68","68","68",
"Belarus","BLR","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","96","97","93","96","97","98","98","98","99","99","99","99","99","97","99","99","99","99","99","98","99","99","99","98","97","98","98","97","98",
"Belize","BLZ","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","21","40","51","43","43","49","85","53","59","71","86","76","69","80","82","83","81","85","84","82","96","94","88","96","97","95","99","96","96","97","98","98","96","99","95","96","95","90","97","96","82","79",
"Bermuda","BMU","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","13","17","15","13","20","21","55","57","58","59","53","54","57","57","64","58","61","51","65","79","84","88","91","96","90","89","88","86","92","93","88","96","92","87","89","95","94","83","89","79","74","75",
"Brazil","BRA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","57","73","66","68","73","67","67","64","62","60","78","85","91","85","77","87","80","99","95","99","99","99","96","97","97","98","99","99","99","99","99","99","99","98","97","96","95","91","92","91","79","73",
"Barbados","BRB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","41","47","53","55","84","88","84","85","84","85","87","92","90","92","97","92","99","92","97","86","94","93","91","90","98","93","92","75","94","94","85","93","90","87","95","96","92","92","85","92","89","77",
